,K81003,B86102,F81061,Y00058,A81041,E85107,H83001,J82143,L84018,H81013,G81056,H82032,A82049,M81077,H81017,G82722,H82006,D82025,E83035,C88018,F81029,E87750,M83063,G82093,L81053,P82006,F81068,G82022,D82001,F82018,H81039,M83092,C84078,E85061,G85136,E85685,D82078,D81630,B84004,C83060,F82649,Y03504,N81051,G82775,Y02671,Y02519,L84016,H82055,J81034,F85708,G81042,G81613,J82218,L83010,A86004,E85054,J83047,B81092,M83026,G84006,E82025,K84063,L84015,C86022,E82121,G85052,B83064,L83100,C85007,L84009,M83048,D83073,L83115,N82117,E85745,C82009,J81005,J82101,C87007,K83037,D81010,N85012,H85057,J81021,D82051,E87008,G85698,P86606,F84008,C83048,C81040,E87007,L84012,B84011,E81025,E82028,F84124,M81037,J82019,K83043,D82022,L83065,G85054,E81033,H82094,E87609,H82037,F84016,L82023,P87008,M83117,E87762,F81126,J81035,N81014,N81046,E87063,M83670,H81094,C82093,L83074,J82099,K81075,H84017,L81023,K81613,F85027,L84010,E85020,H85002,C84064,H82034,P92003,K82015,F83010,N81082,F84047,Y02946,F81040,M85030,F84072,H83053,P85016,P81170,L81026,C83024,E82064,E82015,Y01897,F84115,F81066,F83023,G81023,J81014,H85066,P92020,Y02875,Y00408,G85114,D83044,C84094,Y02117,F81091,Y02571,B82101,N81053,G82012,G81103,C82055,G82060,K84044,H85020,K81025,Y02483,J81054,D82050,J83011,M81001,B82005,F81144,L84034,G84033,J82147,D81009,F84018,B81045,D82011,F81080,E83030,K83041,M92640,F81165,E85055,D81001,F81122,F81152,Y00617,M85116,F84710,J82067,H81090,G82711,B83031,F81127,D81037,D81043,A89017,M83009,J82008,F86022,D82069,L81078,K81068,L84031,H81050,H81060,C81025,C84001,E87756,K84027,G83028,F85669,E82055,Y03034,M85025,J83021,J83034,L85044,Y01177,D81084,C83011,H82059,L83056,D81049,F84033,P83021,K82066,P84035,F81106,G82111,E83009,Y03402,K83047,C88049,K83622,E82057,N83633,Y01655,H84042,J82001,N81087,F84043,M85128,M82032,E82638,F84050,K82638,M84007,L81089,P87028,K81078,E84025,J82039,Y03809,L81061,F81758,E82074,E85120,E82063,H85114,M85026,J82073,Y05230,C85013,E87738,P87027,C84025,N82113,P87015,D83011,P81081,H81027,D83029,L84077,H82035,L81042,A82022,B85037,J83030,B85024,H81031,B81628,G81043,P81112,F85030,A82044,C81084,H81068,L83648,L81125,C88021,M92009,F84021,F85014,D81619,N81026,H82640,J82157,E84601,A81032,N83621,P81040,Y02565,F86013,H82047,M85028,N81060,G81029,L82028,C82067,C81101,G82164,G85623,C83063,G85651,L83084,M87023,Y01964,J81620,M81044,M89005,P89015,N85032,F81090,K84028,G82071,P89021,J82155,L82054,G85002,B81025,M82043,G82802,J82192,A89015,H81032,B85006,Y03620,N85044,Y02826,G85109,H85101,Y01050,P82643,N85008,A84018,C82631,M81022,G82768,M83076,C84646,C81020,K81651,J82034,B83067,J82214,H85116,J82066,E87046,E86007,L82045,B81635,A82026,F81043,E87665,D81054,G84001,G85706,Y00992,G82059,J82088,K83002,E81005,H81020,D81007,Y02615,G82019,B85054,M81066,L85042,L84037,C82649,B82034,L83043,G85051,L81012,Y02527,D82087,E82002,Y05306,H81089,G82777,G82013,L83023,C86025,H83031,J81056,N81045,L83044,C81026,L82057,M85046,F85023,D82072,Y04463,F81213,B86069,L82003,C84123,J83008,Y02523,B86032,Y04917,F86644,J82639,E83016,G82120,Y03049,Y00824,C86625,K81014,H81083,K81070,P81185,G85026,F85007,E85099,H85049,M83004,F84117,G85696,C82676,B86044,M86015,G81070,M85042,H83007,E84012,E82006,C82010,Y00911,D81086,J81637,J81059,C81057,B82037,L85065,M81061,B85001,E85013,F84062,M84070,D83038,A83055,H84016,Y02466,F84747,C81081,L81112,D81005,M85087,P83012,J81066,K82030,E85051,C83085,J82144,J83024,P88007,L81123,F84093,F84716,C81058,J82069,K84042,H84032,D82054,F83664,P81096,P81123,K82037,H84060,L82022,G82051,F81133,F81205,D83058,P89005,B82071,F84635,H81130,G82069,J82084,E85057,C88035,P84020,H81048,E82091,P88034,E83007,K84008,E82641,F85066,E84086,L84054,F83011,J82055,A82047,Y05719,G85030,H85682,E82124,Y03203,F81071,N81084,M89003,Y00020,N82024,Y03023,M88619,D81038,H85012,G84020,P88041,C84013,D83047,P82609,P89012,H81069,C82053,G82119,G82107,J82138,L81015,P92017,Y02900,H81615,D82099,G82016,Y05095,L83045,G82080,G85053,Y05609,L81086,M87007,M83001,C87005,C81097,J82139,M92026,M85031,G84625,K84613,D83075,L84023,F81025,Y00623,E85122,Y00502,L83055,D81030,Y00918,N81011,D83059,D82002,Y02460,D82044,A82039,B83033,F84658,L83103,L83079,B81003,Y06409,G83033,M83071,Y04654,E85725,J84019,C83044
2018-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,1,2,3,1,1,14,12,6,6,56,1,1,1,56,6,13,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,12,1,1,1,6,56,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,1,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,1,14,1,1,2,1,6,1,6,1,56,1,1,1,3,14,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,1,4,4,10,2,3,1,2,1,1,36,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,6,6,6,3,10,12,12,6,14,1,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,3,,,,,,,,,28,,1,1,,1,1,1,1,6,14,84,6,2,1,1,3,1,6,1,1,1,6,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,30,2,1,28,1,6,6,14,14,1,12,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,6,12,1,6,1,2,1,1,3,1,2,1,1,1,2,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,84,,,,,,,,,,2,,,,,,,,,84,,,,,,,,,,6,,,,,,,,,,4,,,,,,,,12,3,3,12,5,96,1,1,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,60,,,,,,6,1,14,1,1,1,1,6,1,6,1,1,2,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,3,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,8,1,1,8,1,2,6,1,1,1,1,6,4,60,6,6,2,6,2,1,1,2,6
