,L81034,C83023,A82031,J83049,M83049,M83703,L81055,L81058,A82022,L83072,M92649,C83003,C82038,M92011,M83052,M83033,C83019,M92002,J83055,D83029,L81066,J83007,L81002,L81643,J83006,C83085,L81052,M91007,L81047,P81607,L81029,J83029,M85007,L81019,L81063,D82037,M91017,B81035,J83032,Y02581,C83038,A82032,C83083,J83011,Y00741,L81124,M92609,L81040,J83642,C83015,L81016,A82029,B81056,L84085,J83030,Y02868,L81017,L81086,M83013,J83018,A82631,C83049,C83071,M85156,C83004,Y02627,J83050,M92012,N85052,L81130,C83033,L84080,J83052,B82069,J83042,L81018,M82046,P81020,J83040,M83639,L81046,L81074,L81021,L84051,M91004,L81060,L81044,M91013,C83075,D83062,B81011,G81017,L81051,M84030,M85143,L81043,M92009,L81119,L82054,D81058,J83020,G82229,L84063,M92039,M83662,L81635,M92024,B81038,C83029,M87021,L81056,L81079,A82013,M92630,J83037,J83021,L81642,L81127,A82035,M85177,J83028,D83053,M85051,J83008,M85056,D83027,J83003,M84019,L81632,H81097,J83034,M91019,J83035,M92006,C83056,M85003,J83603,L81102,C83063,M83129,F82021,D83036,L81088,M91643,L81116,M85669,J83060,L81050,M91008,B81095,D82034,M92607,M85128,C83005,J83046,L81024,L81004,C83031,L81028,H81043,J82138,D83023,J83619,C83021,J83045,M82057,M87012,C83072,J83053,B81027,M92013,B81046,C83007,C83079,J83016,M85023,C83611,C83051,P81051,M82039,F86044,M83107,J82058,J83026,P81633,L81117,J83023,B81058,J83036,M83001,D82100,M83022,L81014,E86004,M83719,J83019,M83727,C84060,M85076,M83738,M91011,Y02757,A82044,C83052,M92007,C83045,D82007,P81215,L81083,P82036,N82003,M83109,M83031,C83059,B81048,M86040,J83041,J83625,J83056,M83668,M85103,B85011,P84070,D83045,L81013,H83043,J82075,L81600,L81041,M83072,M92040,L81033,J83629,M92028,J82157,J83017,P81070,M92019,D83048,G81039,F81020,M91015,J83013,L81649,L81103,P82015,L81075,C83043,M92647,M83146,D82028,M81083,C83073,C83060,P81182,K81002,P81730,M83616,J83618,M92654,G81077,D82020,C83064,K81003,Y03798,C83040,C83057,L83043,D83022,L81084,M91647,Y04944,J82220,M85058,M91016,J83615,M92629,E86029,L81036,Y02354,J82123,M85030,M83097,M85061,N85014,M92627,C83009,C83633,P88016,J82017,L81026,J82077,J82633,C83022,L81062,M92031,M83065,C83047,L81057,J82025,J83039,M83020,P81078,M83036,L81072,M82029,L81089,D83055,D83079,M91612,C83013,L81670,C83037,J83043,J83010,D83060,L81087,L81031,C83041,J83005,J82136,D82053,L81118,M85079,J83004,M92014,Y00400,M85600,M86020,Y01652,C83028,J82061,K81077,D82058,M92043,M92030,Y02636,M81016,M83613,J82094,B81072,M83009,P92033,D83078,M85081,D83056,M84016,M84003,M83044,M89002,M84629,L85024,M91616,L81045,M81044,M91032,M83638,D83018,D83069,Y04631,Y04037,J83636,J82144,Y02666,M92016,J83048,M85117,M81025,C87029,M85086,J83044,M85733,P81058,M83682,M83050,K81047,A82006,J83609,L81030,M84028,M91020,D83008,Y02771,P92626,C83614,M83024,L81085,L81091,M92008,L81077,M83139,L81054,N85022,H83034,M83680,C88088,Y01166,F81125,C85022,K81633,L85043,D83067,L81042,J83014,M92015,M85028,P92619,B84006,M84062,D83047,C84012,K81067,C83065,Y03662,M84015,G81031,D83035,L81007,D83030,D83044,M81032,L81038,M85027,L81035,F82607,L81012,M84040,C83058,M92022,M83619,G81048,L81037,Y03792,G83009,M83014,L81095,F81095,B81034,L85014,L81131,F81123,M91009,L85012,G85053,D83021,L85027,M92001,D83039,J83632,M85783,L81669,N85002,L81009,D83003,C85004,Y03922,K81020,Y01013,G81085,M85167,M83608,M92010,M92041,M92026,D81085,J82131,P81036,M85062,C83014,L81015,K81069,D83009,Y02735,Y02989
2015-11-01,234,,78,92,,78,,886,,,78,,,,,92,,,234,552,2042,736,,1318,,2808,,,234,,,920,,,,,78,,460,78,78,,,460,,1240,78,432,,,2330,,78,78,184,,,1326,560,,,,,,,,,234,234,,92,,184,,276,156,,,170,234,170,,1482,,,156,1240,156,,,,,2418,340,,248,,1594,,,460,312,234,78,,638,1716,78,,156,78,234,,,,276,,,,,92,78,,276,,,184,,,,,,92,,,,,312,,,,,,156,,78,,,,,,78,,,92,78,,,78,,,,276,,,,,92,,,78,,,92,92,,,,,,,156,,276,78,,,,,,,78,,,78,92,,,,,,,,,2574,92,,78,,78,,,,,,,184,,,,,,,,,,,,,,234,92,,,,92,,,,,,,92,,,,,,,,,,184,,,,,,,,,,92,,,,78,78,,,,,,,,,92,,156,,78,92,,,,,92,,,,156,,,,,,,,,156,92,,,,1482,,78,,,,,78,,,,156,,156,92,92,,460,78,,,,,78,78,92,92,78,78,92,92,78,92,78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01,92,,234,368,,,,716,,,312,78,,,,92,184,,2758,736,2964,828,,1432,808,1106,156,,156,,78,644,,,234,,78,,184,,92,,,368,,666,,758,,,1764,,78,156,368,,,1276,496,,,,,,,,,78,78,,,,184,,920,156,,,276,156,390,,1616,,,,1190,156,,92,,,2822,248,,326,78,1240,,,644,390,156,156,,468,1638,,,156,,560,390,,,460,,,,,184,156,,552,156,,276,,156,,92,,,,,,,156,,,,,,,,,,,78,,,,,,,,156,,78,,,156,92,,92,,,92,,,,,,92,,,,,,,,156,,184,78,,,,,,,78,,,78,,,,,,,,,,1950,92,,,,,,78,,92,,,184,,,,,,,,,,,,,,78,,,,,92,,,,,,,276,312,,,,,156,,,,92,,,,,,92,78,,,92,,,,,,,,,,,,,,,,234,78,,,,,,,,78,,,,,,,,,,,,,,,,,2496,,,,,,,78,,,,156,,92,,92,,644,234,,,,,78,,,,156,,,,,92,78,,78,92,92,156,92,78,184,78,78,78,92,1950,78,78,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,404,,78,92,,234,,1970,,,312,78,,,,,92,156,1340,368,1418,1104,,1446,624,1872,78,,,,156,736,,234,78,,78,,276,,,,,276,,1396,,574,78,,2458,,156,78,354,,,624,,276,,,,,,,276,78,78,78,,,184,,736,156,,,,312,560,,1418,,,234,1034,,,,,,1836,262,,156,,1084,,,276,624,156,78,,794,1560,78,,,156,248,,,,276,78,,,,,156,,276,156,,184,,156,,276,,,,92,,,78,,,,,,156,,,,78,,,,,,,,,78,,78,,,78,,,92,,,92,,78,78,,,92,,,,,,,,78,,276,78,,,,,,,78,,,,92,,,,,,92,,,2340,,,78,,,,78,,92,,,538,,,,,,,,,,,,,,78,,,,,,,,,,,,460,,,,,,,,,,92,,,,,,,,,,92,,,,,78,,,,,,,,,,78,,78,,,,,,78,,78,,,,,,92,,,,92,,,92,,,,1340,,,,,,,,,,,78,,156,,92,,276,78,,92,,,78,,,,,,,,156,,,,,92,,,,,,,,,,1638,,,,78,78,78,92,92,78,156,184,78,92,78,92,92,78,92,78,184,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-01,,,78,184,,156,,1304,,,390,78,,,78,,92,156,1170,460,1588,368,,1092,546,,156,,,,234,1104,,78,234,,78,,184,,,,,184,,1148,,184,,,2126,78,,78,,,,1092,468,184,,,,,,,460,78,78,,,,92,,736,,,,276,234,404,,1964,,,234,680,156,,,,,2134,248,,248,,1148,,,184,156,234,78,,780,1560,,,156,156,312,,,,184,,,,,92,156,,184,156,,92,,78,,184,,,,,,92,156,,78,,,,,,,92,,156,,,,,,92,,,,78,,,78,368,,92,,,92,,,78,,,92,,,,,,,,78,,276,,,,,,,,78,78,,,,,,,,,,,,1560,368,,,,,,78,,,,,368,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,92,,,,78,,,,,,,,,,,78,78,,,184,,,,,,,,,78,,,,,78,,,,,,,,,1248,,,,,,,78,,,,,,,,92,,184,,,,,,,,,,156,,,78,,,,,,92,,,,,,156,,,,3900,,,,,,,184,,,,460,,,156,,,,,156,,,78,78,156,78,78,92,156,78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-01,78,,78,184,,312,,1842,,,312,,,,,,92,,1014,920,1560,828,,1226,312,1872,78,,78,,156,920,,156,156,,78,,92,,,,,368,,1360,78,276,,,1410,,78,,92,,,872,312,,,,,,,,184,78,156,156,,,92,,736,78,,,184,156,390,,730,,,312,892,,,,92,,2354,248,,404,,1098,,,644,468,78,,,482,1482,,,,390,390,,,,368,,,,,92,156,,276,,,,156,312,,92,,,,,,92,234,,,,,,,,,,78,,,,,,,92,,78,,78,,,78,,,92,,,92,,,78,,,92,92,,,,,,,156,,368,,,,,,,,78,,,,92,,,,,,,,,2652,184,,,,,,78,,,,,970,,,,,,,,,,,156,,,,,,,,,,,,,,,184,,,,,,78,,,,92,,,,,,,,78,,92,,,,,,,,,,,,,,92,78,156,,,,,,,78,,,,,78,,,,,,,,,,,,,,2106,,,,,,,,,,,,,312,,368,,,,,,,,,,,,,,,78,78,,156,,,92,,,,,,78,,,92,3744,,,,,,,92,92,,,276,,,156,,,,,78,,78,,,78,,,368,78,,,184,184,312,78,78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-01,234,,78,920,,312,,2402,,,624,156,,,,,92,,1184,906,1872,736,,1070,156,2808,156,,78,,156,1380,,156,78,,,,368,78,,,,276,,1304,,708,92,,1686,,78,,92,,,312,390,920,,,,,,,184,156,156,312,,,368,,828,78,,,354,234,326,,1332,,,,538,156,,,,,1092,418,,390,78,900,,,552,390,78,156,,418,1560,,,546,624,312,,78,,276,,,,,92,156,,,,,184,,,,368,,,,,,,468,,156,,,,,,,,468,,,,,,,92,78,248,,,,,,276,,92,,,92,,,156,,,92,92,,,,,,,78,,368,156,,,,,,92,78,78,,,,,,,,,,,,4914,92,,,,,,78,,,92,,736,,,,,,,,,,,78,,,,,,,,276,,,,,,,276,234,156,,,,92,,,,92,,,,,,,,,,,,,,,78,,,,,,,,,,,78,,,92,,,,,,,,,78,,,,,,,,,,,,,,1170,,,,,,,234,,,,,,,,736,,,,,,,,78,,,,,,,156,,,78,,,,,,,,,78,,,,3588,,,,,,,92,,,,368,,,156,,,,,,,,,,,,,92,,,,92,,,,,,92,92,78,78,78,78,78,156,156,92,92,78,78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-01,248,,,276,,836,,2084,,,312,,,,,,92,,1248,644,1730,736,,1162,468,936,,,78,,,814,,234,234,,78,,,,,,,552,,524,,616,78,,1834,,78,78,184,,,808,234,1104,,,,,,,92,,234,,,,,,460,,,,276,78,234,,772,,,312,744,312,,,,,1432,156,,432,390,978,,92,736,624,,,,248,1482,,,156,624,390,,,,184,,,,,,78,,92,,,262,,,,,,,,,,,78,,,,,,,,,,156,170,,,,,,,,78,,,,,,,,276,,,,,78,92,,,,,,,,,,,,,92,,,,,,,,,156,,,184,,,,,,,,,5616,92,,,,,,,,,184,,1012,,,,,,,,,,,78,,,,,,78,,,,,,,,,92,,78,,,,,,,,,,,,,,92,,,,,,,,78,,,,,,,,,,,78,,,,,,,,,,,,,78,,,92,,,,,,,,,,,1950,,,,,,,78,,,,,,156,,1104,,,,,,,,,,,,,,,,78,,78,,,,,,,,,78,,,,2258,,,,,,,92,,,,92,,,,460,,,,,,,,,,,,,78,,,92,,,,,78,,,78,78,,,78,,,,92,,,,92,78,368,156,4,78,92,92,156,78,78,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-01,156,,,368,,,,1772,,,156,78,,,,,92,,1198,460,1112,1196,,772,390,936,78,,156,,,1012,,,156,,78,,92,156,,,,,,262,,460,,,1912,,,78,368,,,1396,850,1012,,,,,,,,,170,,,,184,,920,,,,368,,312,,524,,,170,878,156,,,,,1098,262,,652,,2202,,,736,,,,,340,,,,,156,312,,,,460,,,,,,156,,276,312,,92,,78,,,,,,,,,,,78,,,,,,,,,,,,,,,92,,92,,,,,,184,,,,,,92,,,,,92,,,,,,,,,,276,,,,,,,,78,,,,184,,,,,,,,,3510,,,,78,,,,,,92,,460,184,,,,,,,,,,,,,,,,,,,,,,,,,184,,78,,,,,,,,92,,,,,,92,,,,,,,,78,,,,,,,,,,,,390,,,184,,,,,,,,,78,,,92,,,,,,,92,,,,,,,92,,,,262,,,92,,,,,1288,,92,156,,,,,78,,,,,,,,,,,,,,,,,,,78,,,92,4324,,,,,,,92,,,,92,,,,,,,,,92,78,,,,,,,,,,,,,,,,,92,78,,,,,,,,92,,,,92,,92,,,,92,,,,,,92,92,78,78,78,92,92,78,78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-01,340,,,184,,,,2664,,,156,78,,,78,,,,1594,1656,1878,1472,,1572,156,936,312,,,,,1012,,,234,78,,,276,,,,,,,170,156,446,,,2244,,,,460,,,850,248,276,,,,,,,,,,,,,,92,644,,,,184,156,248,,510,,,,92,,,,,,928,510,,928,78,1296,,92,736,78,,,,,,,,156,170,312,,78,,460,,156,,,,312,,92,156,,552,,78,,,,,,184,,,78,92,,,,,,,,,,,,,,,,,,,,,,,,368,,,,,,,,,,,92,92,,,,,,,,,276,,78,,,,,,78,78,,,276,,,,,,,,,3120,92,,,,,,234,,184,92,,736,,,,,,,,78,,,,,,170,,,312,,,,,,,,,276,,156,,,,78,,,,92,,,,,,,,,,,,,,,78,,,,,,,,,,,78,,,92,,,,,,,,,78,,,,,,,,,,,,,,708,,,,,,,340,,,92,,,,,1472,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,5152,,,,,,,92,,,,,,,,,,,,,,78,,,,,,184,,,,,,,,,78,,,78,,78,,,,,,92,78,,,,,92,,,,92,,,,,,,,,,,,184,,,,78,92,78,156,92,170,92,78,78,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01,312,,,,,,,2742,,,,,,,,,,,1020,1104,602,736,,1770,92,552,156,,,,170,1380,,78,234,,,,276,,78,,,184,,248,,644,,,3086,,,,552,,,156,574,92,,,,,,,,,,,,,92,,368,,,,368,,92,,460,,,404,1062,,,,,,1140,340,,680,170,1274,,,736,78,,,,,,,,,156,574,390,,,368,,,,,92,156,,92,,92,354,78,,,,,,,,,,616,,,,,,156,,,,156,78,,,,,,,,404,,,,,,92,,,,,,,,,,,92,92,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,184,3666,,,92,,,,78,,,92,,460,,,,,,,,,,,78,,,156,,,,,,,,,,,,,,78,,,,78,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,78,,,92,,,,,,,,,78,,,92,,,,,,,,,,,1444,,,,,,,262,,,184,,,,,1012,,184,78,,,,,,,,,,,,,78,,,,,,,,,,,78,,,,1826,,,,,,,92,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,78,,,,,,,,,,,,,,,,,184,,,,92,,,,,,,,,,,,184,78,,,,,,92,,,,,,,92,92,78,92,78,92,78,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-01,170,,,276,,184,,2204,,,312,78,,,,,92,,928,1380,850,1288,,914,92,,78,,,,326,644,,,234,,,,184,,78,,,368,,92,,694,,,1168,,,,184,,,404,510,1288,,,,,,,,,156,,,,276,,920,,,,460,,262,,736,,,92,800,,,,,,1076,78,,956,78,616,,,736,460,,,,,,,,,156,92,,,,276,,,,,,156,,92,156,,184,,,,,,,92,,,,864,,,,,,,,,,,,,,,,,92,78,432,,,,,,460,,,,,,,,,,,92,,,,,,,,,,276,,,,,,,,78,,,,,,,,,,,,,2964,,,,,,,,78,92,92,,920,,92,,,,,,78,,,78,,,,156,92,,,,,,,,,,276,,,,,,,,,,92,,,,,,,92,156,,,,,,156,,,,,,,,,,,,,,,92,,,,,,,,,78,,,92,,,,,,,,,,78,800,,,,,,,170,,,184,,,156,,1656,,,326,,,,,,,,,,,,,156,,,,,,,,,,,78,,,,1826,,,,,,,92,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,156,,,78,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,276,,,78,,,,,,,,,156,,,,,,78,,,92,92,368,78,92,234,312,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-01,78,,,276,,,,2006,,,78,78,,,,,,184,446,1380,510,1288,,694,312,,92,,,,326,736,,,390,,,,184,,78,,,184,,340,,446,,,1536,,,,552,,,666,170,644,,,,,,,276,,78,78,,,92,,1012,,,,276,,276,,552,,,,998,,,,,,1310,248,,524,,956,,92,736,184,,,,,,,,156,170,702,,78,184,460,,,,,,156,,,,184,460,,,,92,,,92,,,,1076,,,,,,,,,184,,,,,,,,92,78,78,,92,,,,184,,,,,,,,,,,92,92,,,,,,,,,460,,,,,,,92,78,78,,,,,,,,,,,,,,,92,,,,78,,92,92,,552,92,92,,,,,,,,,,,,156,92,92,,,,,,,,,,92,,,,,,,,,,92,,,,,,,,,,,,,,78,,,,,,,,,,,,78,,,184,,,,,,,,,78,,,,,,,,,,,,,78,538,,,,,,,920,,92,,,,,,1104,,92,340,,,,,,,,,,,,,78,,,,,,,,,,,78,,,,92,,,,,,,92,,,,92,,,,92,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,78,,,92,78,,,,,92,,,,,,,,,,,,276,,,,,,,92,,,,,,,,,,,,,78,,,368,92,,,156,92,92,92,78,78,78,78,78,78,78,92,78,92,92,,,,,,,,,,,,,
2016-12-01,340,92,,,,,78,1084,,,,78,,,,,,,1048,644,510,1288,,1608,156,,,,92,,78,644,,78,234,,,,,78,78,,,184,,446,,814,,,2152,,,,276,,,78,404,644,,,,,,,92,,234,,,,184,,920,,,,736,,262,,460,,,,1274,184,,,,,906,170,,772,,1104,,,644,,,,,,170,,,,,326,,,276,828,,,,,,78,,184,,92,460,,,,92,,,,,,,1012,92,,,,,,,,92,,78,,,,,,,156,,,,,,,92,,,,,,92,,,,,92,184,,,92,,,,,,184,,78,,,,,,,,,,,,,,,,,,,5456,92,,,,,,78,,92,184,,460,276,92,,,,,,170,,,,,,78,,,,,,,92,,,,,,,,,,,248,,,,,,,,,,,,234,,,,,,,,,,156,,,,,,,,78,,,,,,,,,,,,156,,,92,,,,,,,,,,,340,,,,,,,1012,,,276,,,,,1288,,,170,,,,,,,,,,,,,78,,,,,,,,,,,78,,,,1288,,,,,,,92,,,,368,,,,,,,,,92,,,,,,,,,,,,,,,,,,,92,,,,,,,92,,78,,,,,184,,,,92,,,,,,,,,,,,92,78,,,,,,,,,,,,,,,,,78,,,,,368,,,,156,,,,,,,,,,,,,,,78,78,92,92,92,92,,,,,,,
2017-01-01,234,,,,,184,156,1332,,,,,,,,,184,,694,644,1834,2392,,1154,,,156,,92,,170,92,,78,234,,,,276,,78,,,,78,276,,906,,,1168,78,,,552,,,404,496,276,,,,,,,92,,,78,,,92,,1380,,,,184,78,1006,,460,,,,1352,,,,,,906,326,,432,404,828,,,460,312,,,,,,,,,234,78,,,92,184,,276,,,,156,,92,,276,184,,,,184,,,,,,,828,,,,,,,,,,,78,,,184,,,92,,78,,78,,,,368,,184,,,,184,,,,,184,92,,,92,,,,,,92,,,,,,,184,,,,,,,,,,,,,,248,,,,,,,156,,92,92,,644,92,92,,,,,,,,,,,,78,,,78,,92,,,,,,,92,,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,78,,,,,,,,,,,,,,,,,,,,,276,,,,354,,,,,,,1352,,,,,,,,1196,,,184,,92,,,,,,92,,,,78,78,92,,,,,,,,,92,,,,,1564,,,,,,,92,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,92,,92,,,,,,78,,,,,,,,,,,,,,,,,,,78,,,,,,,,,92,,,,,184,,,,156,,,,,,,92,,92,,,,,,78,,92,,,,92,92,78,78,78,234,92
