,M91655,J82088,G85721,L81081,B87028,F81213,A89021,L84020,G82706,A85609,A83028,P91006,D83010,C83611,M92006,K84040,A87016,G83018,C83635,A83037,E85748,K81092,A83076,Y01242,F86057,Y02586,J82098,E85026,H81036,A83017,J84013,B82041,C87006,F85642,F82680,D82104,F86038,F82675,F81114,L84015,C88026,E87756,J81042,E83045,F81011,N82648,G82026,B81653,N83015,M89005,Y03715,P81086,C81004,Y03135,P87624,Y02946,K83009,D81615,C88038,J82190,B86025,Y04938,B81634,B82006,N81626,P87668,B82053,G84010,P81732,M85043,B86670,D81002,H84020,G85061,D81042,A83026,E86024,L83105,F85615,E83624,F85663,F86708,P81072,F85053,N81083,Y00612,K84009,F85002,E81612,Y02510,A87008,H81067,E84040,P87036,F86644,Y02849,B81037,N84002,Y02854,D83022,L83608,G83015,K81072,Y02837,G83067,Y04657,P86004,J83019,M84025,K82079,A89034,B83659,F81119,B82080,P81100,J82042,B82044,A81054,E82061,J82035,G83663,P91633,F81051,F81070,B82001,H81010,J83036,A86601,C81061,J81068,L83103,Y02842,J83034,G81039,C84077,P81069,Y02495,Y01948,E83036,C82678,F85039,P87625,A86040,L83004,M91015,G82634,C84019,N81081,B83064,J82074,L81037,L81052,F86658,L81095,G82604,C84036,E82117,K84027,K83052,J81054,G82150,M83697,M86003,G81105,L83079,H84012,N81007,M83069,C84114,M82045,L83015,F82612,L81007,L81117,L84030,L84044,F84105,F81110,G82076,B82011,P89010,D82019,D81046,G82099,Y05367,B83653,D83050,H82045,C84131,J82112,L85031,E85001,H81643,E87737,N83020,F84686,P87648,P81182,F82019,H81061,E83638,B82028,J82122,G81059,B85634,G83062,D83016,A85003,P82034,F82045,L81073,F81206,D82034,J83021,M84008,K81024,D83014,N81084,C82660,G82048,L82026,P81683,A85009,D83036,F84086,D81044,M82059,G82071,Y02177,G82205,Y02578,M84043,H81094
2019-02-01,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-01,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-01,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-01,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-01,,,,5,,,,,,,,,,,,,2,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,1,1,1,,,,,,,,,,,,,,,,,,,
2019-08-01,,,,10,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,5,1,,,,,,,,,,,,,,,,
2019-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,2,1,,,,,,,,,,,,,,
2019-10-01,,,,10,,,,,,,,5,1,,,,2,,,2,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,1,1,,,,,,,,,,,
2019-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,
2019-12-01,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,4,6,1
