,H81015,P91029,L81053,A82008,C84049,F81041,B83037,N81122,C82068,D82042,L83101,N81021,K82023,P89015,L83058,N81047,M85033,F81007,J82100,F86020,G82119,D81008,J82164,E82008,C84107,F86083,D81085,D81034,M83054,A83005,C82056,E82074,C82009,A83018,M85029,P92035,D81043,B86050,G82115,D82079,M84067,D83070,D83048,F81030,D81048,E81018,J82050,H84050,K83041,B81025,D83081,P81044,D82102,Y00212,B86107,H81611,N85629,B86064,L83111,K83010,C84026,M81026,E82059,N84006,M83138,M81057,P87613,Y00057,B82075,K82033,M82009,D81019,M87030,B86074,C83650,F81152,B81653,G82187,E81024,L85021,B86044,L84016,J82110,N85008,D82044,K83002,H81021,F86004,C83056,F86707,G82120,F81157,A83009,A88010,P88023,M83011,H81013,H81043,K81073,Y04608,H81097,Y00351,A84032,M81048,L83054,F82612,H81116,H81069,H81094,D81044,E82058,E85021,F84074,E81006,D81615,H81128,H81080,N82018,C88041,D83069,L85020,H81020,L81083,H81109,H83024,M82038,D81061,E82085,B82010,D82084,K81034,A83014,F85032,D83043,G85001,H81061,C85018,J82139,C83011,F81136,J81014,D83075,K81039,G82108,E81045,D83038,D82053,K81032,H81045,H81004,K81020,H81084,K81019,K81024,L85056,Y00560,H81035,L81102,D83051,H81032,A84006,H81053,E82027,H81052,F81123,H81085,E81004,H81024,D81070,H81088,D83023,H81006,K81010,F83012,H81082,D83045,D82064,K82042,K81018,P81081,D81005,K82054,Y05017,Y04963,H81638,G82128,D83028,G82732,H81074,D82007,E81044,K81006,D83014,H81030,D83080,L85017,B82074,D82045,Y04429,H81132,H81050,H81656,H81090,J82067,Y05432,D81010,D83055,G81082,D81026,H83013,M88003,K83017,D83013,K81060,L85007,D82018,H82016,H81025,H81066,L81098,D83084,L84048,B87016,G82200,N85001,D82068,H81081,D82029,C83054,D81012,H81016,P81014,A83025,F81681,J82149,K83029,Y05505,H81028,K83044,J82120,H81076,H85025,K82014,H81010,L84006,H81039,H81065,H81009,H81034,K81066,H85037,D82039,H81070,H81038,H81048,H81019,B82083,H81133,J82125,Y05431,H81086,H81062,H81113
2018-04-01,,,,2,,10,,20,,,,,,10,3,,,,,12,,,,,,,,,,2,,,3,,,,,6,20,3,,,,,,,,,,,,,,6,,,,,,,,2,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-01,,,,,,,8,,,,,2,,10,1,,,,,,,,,,,,,,,,,10,3,,,,,,,,8,,,,,,,,4,,,,,,,,3,,,,,2,,,,,,,,12,,,,12,,,2,,,,,,,12,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,4,,,,,,,2,,,,,,1,,,,,,3,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-01,,,6,,,16,,,,,,,,10,3,,,5,,12,,,,2,,,,,,2,,,3,2,,10,,,,6,,,,,,,,,,,,,,6,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,2,,,,6,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-01,,,,,,10,,,,,,,,,,,,,,12,,,,,,,,,,2,,10,3,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,6,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-01,,,,,,10,,,,,,,,10,,,,,,,,,,,,,,,,,,,6,,,10,,6,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,12,,,,,,,,,,,,,,,6,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,2,,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-01,,,,2,,10,,,,,,,,,,,,5,,,,,,,,,,,,2,,10,3,2,,,,,,,16,,,,,,,,,,,,,6,,,,,,,,2,,,,,,,,12,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,6,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-01,,,,,,10,8,20,,,,,,,3,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,6,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-01,,,,,,10,,,,,,,,10,,,,,,12,,,,2,,,,,,2,,10,3,2,,10,,,20,,10,,,,,,,,,,,,,,,,,,,,,2,,,2,5,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,2,,,,,,6,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-01,,,,,,6,,,,,,,,,2,,,5,,,,,,,,,,,,,,,3,,6,,,,,,5,,,,,,,,,,,,,6,,,,,,,,2,,,,,,,,,,,,6,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,,,,,,,,,,,,,5,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,,,3,,,10,,,,,,,,10,4,,,,,12,,,,,,,,,,,,,3,,,,,6,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,12,,,,,,,,10,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,10,,10,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-01,,,,,,,,,,,,,,,,,,,,12,2,,,,,,,,,,,20,3,,,19,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,24,,,,12,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,4,,,,,,,2,,,,,,,,,,,,4,1,10,2,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-01,,,,2,,10,,20,,,,,,10,2,,,,,24,,,,2,,,,,,,,10,3,4,,,,,20,,15,,,,,,,,,,,,,,,,,,,,,2,,,2,5,10,,,12,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2019-04-01,,,3,,,10,,,,,,,,10,2,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,12,,,1,,,,,,,12,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,2,,,2,,,,,,2,,,,,,,,,,,,4,,,,,1,2,1,1,1,,,,,,,,,,,,,,,,,,
2019-05-01,,,,,,10,,,,,,,,,,,,5,,12,,,,,,,,,,,,,3,2,,20,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,4,,,2,,,,,,,2,1,1,1,,,,,,,,,,,,,,
2019-06-01,,,,,,10,,20,,,,,,10,2,,,,,,,,,,,,,,,,,10,3,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,2,,10,,,10,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,2,1,,,,,,,,,,
2019-07-01,,,3,,,10,,,,,,,,10,3,,,,,12,,,,,,,,,,,,10,2,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,6,,2,,,,3,12,,,,20,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
2019-08-01,,,,,,10,,,,,,,,,,,,5,,,,,,,,,,,,,,,,2,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,12,,,,,,,,,,,,,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,1,1,,,,,,,,
2019-09-01,,,,2,,,,,,,,,,10,2,,,,,12,,,,,,,,,,,,10,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,10,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,2,1,,,,,
2019-10-01,,,,,,10,,,,,,,,10,2,,,,,,,,,,,,,,,,,10,,,6,10,,6,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,2,,,,,,,12,,,,,,,3,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,2,,2,4,,,
2019-11-01,,,,,,10,,,,,,,,10,,,,,,12,,,,,,,,,,,,,3,2,,,,,20,,10,,,,,,,,,,,24,,,,,,6,,,,,,,2,5,,,,12,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,5,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,,,,,1,,,,,
2019-12-01,,,3,,,,,20,,,,,,10,3,,,,,,,,,,,,,,,,,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,6,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,10,,,,,,,,,10,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1
